,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
,Monta Ellis,IND,31,74,39,35,27,106.6,107.1,-0.5,17.1,1.75,24,1.1,10.3,5.8,13.7,48.2,51.4,16.9,98.1,6.9
,Myles Turner,IND,21,81,42,39,31.4,108.3,105.1,3.2,6.5,1.01,8.7,6.4,19.2,13.1,8.7,53.4,58.5,19.7,98.5,11.2
,Paul George,IND,27,75,39,36,35.9,108.9,106,2.9,15.7,1.14,12.7,2.5,17.8,10.3,11.1,53.4,58.7,29,98.13,13.6
,Rodney Stuckey,IND,31,39,17,22,17.9,104.6,105.5,-0.9,18.4,1.58,19.6,1,12.5,6.7,12.4,41.2,48.3,22.2,96.83,7.5
,Thaddeus Young,IND,29,74,40,34,30.2,107.2,104.7,2.5,8.2,1.28,13,6.7,15.2,11.1,10.1,56,56.2,16.5,98.97,9.7
,Clint Capela,HOU,23,65,44,21,23.9,113.7,105.9,7.8,6.6,0.72,8,12.7,25,18.8,11,64.3,63.8,20.1,101.19,13
,Eric Gordon,HOU,28,75,50,25,31,110.8,104.6,6.2,12.5,1.55,13.4,1.4,7.8,4.6,8.6,52.7,55.7,22,103.07,8.2
,James Harden,HOU,27,81,54,27,36.4,113.6,107.3,6.3,50.5,1.95,27.6,3.5,21.2,12.3,14.1,52.5,61.3,34.1,102.98,19
,Lou Williams,HOU,30,81,34,47,24.6,108.7,109,-0.4,19.3,1.49,15,1.4,9.6,5.5,10,51.1,59.3,28.3,103.22,13.3
,Montrezl Harrell,HOU,23,58,39,19,18.3,112.3,108.8,3.5,9.7,1.45,12.6,8.4,13.7,11.1,8.7,65.4,66.2,17.6,102.52,10.8
,Nene,HOU,34,67,47,20,17.9,109.4,102.8,6.6,8.8,0.89,10.5,8.5,17,12.7,11.7,62.1,63,19.3,104.55,11
,Patrick Beverley,HOU,28,67,46,21,30.7,113.3,106,7.3,18.4,2.81,29.1,5,15.9,10.4,10.4,52.1,54.6,14.1,101.61,8.5
,Ryan Anderson,HOU,29,72,50,22,29.4,113.8,105.8,7.9,4.6,1.24,7.1,5.8,11.5,8.6,5.7,55,58.3,17.9,101.8,7.9
,Sam Dekker,HOU,23,77,52,25,18.4,109,106.2,2.8,7.9,1.85,13.2,7.3,14.5,10.9,7.1,54.3,54.9,15,102.25,8.7
,Trevor Ariza,HOU,32,80,53,27,34.7,112.9,107.1,5.7,8.8,2.4,15.9,2.1,16.2,9.1,6.6,52.8,54.8,14.1,102.78,8.5
,Troy Williams,HOU,22,30,19,11,18.6,100.1,105.5,-5.4,7.2,0.78,10.5,2.9,10.7,6.8,13.4,49.1,51.1,17.1,98.77,5.5
,Andre Iguodala,GSW,33,76,64,12,26.3,114.3,101,13.4,16.9,4.5,33.5,3,13.1,8.4,7.4,60.5,62.4,11.3,101.92,10.2
,Draymond Green,GSW,27,76,62,14,32.5,115.2,99.3,15.9,27.2,2.9,36.5,4.6,20.5,13.2,12.6,48.1,52.2,16,103.34,11.7
,Kevin Durant,GSW,28,62,51,11,33.4,117.2,101.3,16,21.8,2.17,18.4,2.3,23.2,13.7,8.5,59.4,65.1,27.6,103.71,18.6
,Klay Thompson,GSW,27,78,66,12,34,115.6,100.9,14.7,9,1.25,9.1,2.2,9.1,6,7.3,56.5,59.2,26.2,102.15,10.9
,Matt Barnes,GSW,37,74,38,36,24,104.3,106.9,-2.5,16.2,1.82,24,4.5,20,12.3,13.1,48.3,51.4,15.6,97.99,8.1
,Patrick McCaw,GSW,21,71,57,14,15.1,104.3,104.9,-0.7,9.9,2.14,20.6,2.1,7.8,5,9.6,51.6,54,11.9,102.03,5.6
,Shaun Livingston,GSW,31,76,63,13,17.7,107.7,100.2,7.6,14.6,2.24,25.6,2.5,9.5,6.2,11.4,54.9,56.8,13.5,98.4,7.3
,Stephen Curry,GSW,29,79,65,14,33.4,118.1,100.9,17.2,28.7,2.19,22.2,2.7,11.3,7.3,10.1,58,62.4,29.2,105.08,15.1
,Zaza Pachulia,GSW,33,70,58,12,18.1,115.8,100,15.8,13.1,1.52,22.7,13,22.5,18,15,53.4,58.8,15.1,102.91,10
,Andre Drummond,DET,23,81,36,45,29.7,102.6,108.9,-6.3,6,0.59,6.9,14.6,37.3,25.2,11.6,53.1,51.8,22.4,96.5,13.6
,Aron Baynes,DET,30,75,34,41,15.5,103.7,98.5,5.2,3.9,0.64,8,10.8,20.6,15.8,12.4,51.3,57,14.3,97.23,8.5
,Ish Smith,DET,28,81,37,44,24.1,104.8,104.2,0.6,31.9,3.73,31.6,1.1,12.1,6.5,8.5,45.8,47.7,20.4,97.62,10.7
